Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM2997734,0.0453882751205961,0,0,0.228690106275114,0.0713431947943404,0,0,0,0.0450011324067048,0,0.140067930220752,0,0.115616598172063,0,0,0.00465125301390751,0,0.000691676252965683,0.0142709167134476,0,0,0.334278917030109,0,0.750368000199431,0.681205688202229
GSM2997735,0.0433463329059629,0,0,0.360230233986557,0.0103188580698277,0,0.0329601723398391,0,0.0343581356829339,0,0.108519940458397,0,0.125945303316076,0,0,0.0162654042708253,0,0,0.0107693426225917,0,0,0.25728627634699,0,0.738606750048265,0.698329998952007
GSM2997737,0.0301249084018054,0,0,0.358539602366076,0.0449590230921793,0,0.00213500710821185,0.00563820754787169,0.0455137774124712,0,0.174036248653627,0,0.110924012719875,0,0,0.00715488135140339,0,0,0,0,0,0.220974331346479,0,0.742711742865217,0.689815798696218
GSM2997738,0.0291438590114858,0,0,0.341259767572208,0.0200929677809831,0,0.0257999487702895,0,0.0218352211037766,0,0.133225901961027,0,0.112958214118093,0.003130339913771,0,0.00520215341222128,0,0,0,0,0.0019401953890185,0.305411430967126,0,0.742629765623181,0.687282248305549
GSM2997739,0.0902043728589956,0,0,0.260918110894205,0.133888967201616,0,0.0131056040208873,0,0.0574233742700394,0,0.0558863961978539,0,0.117547959800183,0,0,0.00995731841565478,0,0,0,0,0,0.261067896340565,0,0.720239155479766,0.715227868027287
GSM2997743,0.0447725191516482,0,0,0.382636281685888,0,0,0.0230547716763513,0,0.00351025209702208,0,0.111080345934678,0,0.112750045365126,0,0,0.00913499362811586,0,0,0,0,0,0.313060790461171,0,0.73948423300636,0.689341247735204
GSM2997746,0.0143937296695767,0,0,0.253351439497048,0.0492834320272145,0,0.0433945766025564,0.000123761817522867,0.00803812227687634,0,0.196825477566504,0,0.124820076911781,0,0,0.0102921981418879,0,0.0033008684392688,0,0,0,0.296176317049764,0,0.758197408351507,0.674296515089794
GSM2997747,0.058756313674999,0.00186403968246849,0,0.338554967369806,0.0107053913862268,0,0.0333841486710935,0,0,0,0.101772318834652,0,0.0779596539590929,0,0,0.00928746972088648,0,0,0,0,0,0.367715696700776,0,0.755117485780608,0.672381387740017
GSM2997748,0.0191284274122294,0.0254571843978273,0,0.352544713786928,0,0,0.0312449243759686,0,0.0327993054147643,0,0.166949025669657,0,0.108056244852916,0,0,0,0,0,0,0,0,0.26382017408971,0,0.740000139212047,0.691550039319865
GSM2997749,0.0445726145147945,0,0,0.239015238124643,0.0352919481284814,0,0.0287405263453706,0,0.0352577501624788,0,0.113268212923682,0,0.0983099721933211,0,0,0.00574425012111403,0,0.000213764570228112,0.018295152636025,0,0,0.381290570279861,0,0.774042142302889,0.655499645557085
GSM2997750,0.0626434572783109,0,0,0.261010105938487,0.0388095168332789,0,0.0594842032091009,0,0.00138787690211184,0.0260084978658955,0.0960120670255372,0,0.0686507838461908,0,0,0.00658232499078583,0,0.000717665775749817,0.00524249614349737,0,0.0161170051890409,0.357333999002013,0,0.781196931474886,0.653710925034783
GSM2997752,0.0759755427800477,0,0,0.220297326589532,0.0617502978631115,0,0.00745952980262136,0,0.0283658953987404,0,0.12973959246123,0,0.107802816260315,0.00993534308681059,0,0.00249359415511954,0,0,0,0,0,0.356180061602472,0,0.729525113394866,0.697428002500648
GSM2997754,0.0584831367605304,0,0,0.342262487094291,0.058764446680737,0,0.0313105941718862,0,0.0117288099035747,0,0.107000392436599,0,0.091115669589896,0,0,0.00839574475659426,0,0,0.00985178241321237,0,0.0216464764970705,0.259440459695608,0,0.735333957973406,0.701971810216814
GSM2997755,0.0300762444685276,0,0,0.342106184302669,0,0,0.0151638786872589,0,0.0237133413374755,0,0.147210238096411,0,0.143428532501887,0.00635101099545349,0,0.00887219567985479,0,0,0,0.0202561774711906,0,0.262822196459272,0,0.719388703797146,0.710820970403549
GSM2997756,0.0252528030681134,0,0,0.214171008842376,0.0457825972626074,0,0.0589206516761293,0,0.0126985340294663,0,0.113393628307495,0,0.0955981768313121,0,0,0.00439983207633227,0,0.00262539324387523,0.0402330816049986,0,0.112905020894219,0.274019272163076,0,0.763703303285055,0.687410640481436
GSM2997757,0.043941234202862,0,0,0.279359555630642,0.0781774603106888,0,0.015530965563505,0,0.0170360391206809,0,0.0711138439966454,0,0.128307863736614,0,0,0.0102208254974295,0,0,0.00534176269028774,0,0,0.350970449250645,0,0.750857210769757,0.678593004563908
GSM2997758,0.0242115477086356,0.00771374904683895,0,0.315767901552456,0.0763699813903579,0,0.0053695217970652,0.00109079856865537,0.0474476067947099,0,0.184420114532784,0,0.131235830488602,0,0,0.00187179999028435,0,0,0.00458341684905544,0,0,0.199917731280556,0,0.724836072363374,0.707257534319947
GSM2997768,0.0260360929062169,0,0,0.338045491563787,0,0,0.0355111598516774,0,0.0202554288522294,0,0.116213622294004,0,0.153824140309896,0,0.00054759286009237,0.0163939219812481,0.000979913449200999,0,0.00100416353882821,0,0,0.291188472392819,0,0.723542643789558,0.705827163152141
GSM2997772,0.051299036602453,0,0,0.254886622660957,0.0384857661691995,0,0.00775839203304092,0,0.018971064144761,0,0.066715750867098,0,0.0918930292100905,0,0,0.0109859724654235,0,0,0.0186905163681429,0,0,0.440313849478833,0,0.76638703468501,0.654297062795479
GSM2997774,0.0450865394585735,0,0,0.267677161881986,0.0242655462467035,0,0.0493504705604772,0,0.0023416004999597,0,0.133173439280237,0,0.132220316813961,0,0,0.0102145584701987,0,0.00112381621324753,0.00550210007225042,0,0,0.329044450502406,0,0.731131850509929,0.698143295907502
GSM2997775,0.0611347236305177,0,0,0.17061423698427,0.127426709770748,0,0.0427687882016484,0.00452541366699085,0.0295368567911714,0,0.193874455698161,0,0.144019126472075,0,0,0.00916273524943048,0,0,0,0.000226424362019188,0,0.216710529172969,0,0.724739617937976,0.715187153340037
GSM2997779,0.038502104099016,0,0,0.220688564699958,0.0992646847332178,0,0.0215223674076025,0,0.0262326962208465,0,0.0703572548832726,0,0.191261075647882,0,0,0,0,0.00431849531851024,0.0170731273696914,0,0,0.310779629620004,0,0.693932713145059,0.730302603495409
GSM2997790,0.0383552060097951,0,0.0406812391509168,0.129905193797491,0.103630217728485,0,0,0,0.034359715966995,0,0.102270802990422,0,0.120307560402911,0.0311479985400144,0,0.000787941533746522,0,0,0.0116308358676389,0,0,0.386923288011584,0,0.773265452720158,0.657727182279284
GSM2997791,0.0727602392635354,0,0,0.272071560165594,0.127721438959674,0,0.0205392371535117,0,0.0159315109150201,0,0.0839619644194679,0,0.113018161532628,0,0,0.00617940990536357,0,0.00101212846190091,0.00608666697700001,0,0,0.280717682246304,0,0.740286168612837,0.697409046390788
GSM2997792,0.037821319096242,0.00784027851139817,0,0.29713483221298,0.0887783620740607,0,0.0214460081926537,0.000181316073516113,0.0278568632370462,0,0.117438852309935,0,0.108172150189772,0,0,0.00257221443009342,0,0,0.00694614106567701,0,0,0.283811662606625,0,0.74053681746501,0.693949264989836
GSM2997793,0.0134441839802767,0,0,0.368671423364296,0,0,0.0273326159694034,0.00568695063460147,0.0250303063770228,0,0.149201789959298,0,0.105782969138267,0,0,0.00303114889144457,0,0,0,0.00056313001073863,0,0.301255481674652,0,0.76832377318318,0.662127728433492
GSM2997794,0.0419240236357751,0,0,0.336833685720071,0.0431821766575664,0,0.0270788489022788,0,0.0178396425950125,0,0.102417228835574,0,0.129306450772192,0,0,0.00134267638597754,0,0.000181866972999625,0.00165196807905986,0,0,0.298241431443494,0,0.725705238765847,0.703581542215663
GSM2997795,0.0305681203771484,0,0,0.290716577955866,0.0063897474329531,0,0.0471366428655053,0,0.0102964270818828,0,0.192408263902629,0,0.123648231322393,0,0,0.0245818782320382,0.00292364958564436,0,0.0123883486791613,0,0,0.258942112564778,0,0.729759286218165,0.703622309849394
GSM2997796,0.0226800420236189,0,0,0.292100550069157,0.0100418989614815,0,0.0112971048324701,0,0.00417326522284387,0,0.210261429086523,0,0.0971458969810194,0,0,0.0106378997028203,0,0,0,0,0,0.341661913120066,0,0.761795729296139,0.663229702382104
GSM2997798,0.0266366893861483,0.00558099628001201,0,0.29887091282431,0.0491788480924935,0,0,0,0.0395296289129901,0,0.0709121865319673,0,0.120425503113548,0,0,0.0119656568434691,0,0.00184828947204463,0.0108808631994992,0,0,0.364170425343518,0,0.744349051008859,0.682179333720621
GSM2997799,0.0325100697682729,0.00338415955856745,0,0.267138214099787,0.0587109813050685,0,0.0166160378819258,0,0.0232077495448476,0,0.17699743491156,0,0.159929674746997,0,0,0.00271427039453084,0,0,0,0,0.00149419237235787,0.257297215416085,0,0.726193477590826,0.705325296934888
GSM2997800,0.0194374158865182,0,0,0.325021579321626,0.0239821846554376,0,0.0160605452866999,0.00276270043898309,0.030587587186464,0,0.153403357652164,0,0.0881397953350768,0,0,0.0139301426932335,0,0,0.0115682318552464,0,0,0.31510645968855,0,0.735592086342599,0.692409707014704
GSM2997801,0.00985201854134858,0,0,0.277585018700987,0.0828101609457744,0,0.00222268994763858,0,0.0251024674973878,0,0.0776452623808258,0,0.132770461437612,0,0,0.00582812914271962,0,0.00180072657340996,0.0113229847087346,0,0,0.373060080123561,0,0.749987440926019,0.674727820964614
GSM2997802,0.0447673585092751,0,0,0.397383126180355,0.0296988270105442,0,0.0210769321551787,0.00967090952074755,0.0281750592661651,0,0.125755168433595,0,0.0838405426043586,0,0,0.00578892010275552,0,0,0.00209026519922957,0,0.00263070728201171,0.249122183735783,0,0.747723971601526,0.686183535294064
GSM2997803,0.0271283433410991,0,0,0.33431300556082,0.0151604758415334,0,0.0227515944343452,0,0.0163307917895003,0,0.199924834010521,0,0.126127551324966,0,0,0.00480361998010875,0,0,0,0,0,0.253459783717106,0,0.766207245601998,0.667520021315786
GSM2997810,0.0799759373420847,0,0,0.280654457346636,0.0131395675566608,0,0.0187976093434921,0,0.0297776122909846,0,0.165088314860826,0,0.101656581568537,0,0,0.00190383399720439,0,0.000505380971303225,0.00509666413616464,0,0,0.303404040586107,0,0.751925086283888,0.682334728031044
